FileName,Title,Author,License,Comments,URL
0515.jpg,20131117 15:26:24,Andrzej Szymański,https://creativecommons.org/licenses/by-nc-nd/2.0/,No Changes,https://www.flickr.com/photos/madpole/10912897273/in/photolist-hCksag-gXA3Kg-hCjzRG-AjGEHj-hCiPpM-hCkptp-h9qCXC-NLwEBF-hCiNxB-Dm7YYW-hAfpH6-hCiRwx-ARTqxP-5G3cKc-5d3WWS-9zGh6f-9zCYF4-5G3cTk-7Adujo-dWsgmc-vJNUGv-56rgPP-psJSN-9zGcPm-Ep888-5Lrnuu-9zG7x3-odb3Hi-9NGhX-e7wyCH-ooUcAi-dCA5PZ-5XBwBP-H4ptG-tTYrd-Ep7G5-6bGfxJ-e7wzDk-5XFMxG-5XFMVL-5XBwFx-6z3hHz-5Lrnyb-5XFMCC-ceEi3S-mhA23-kNQqR-kNQSG-6z3NZ8-xHwdUH
0516.jpg,Névoa,José Moutinho,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/jamoutinho/4548119948/in/photolist-7VUiBb-4U9EyF-sKe4Qd-Ht4tNQ-ej5eKf-bqki12-6bCe6g-98Ttan-98TsPF-7rKfoT-5VdMNa-cN9fLw-7SsiLc-98WyPd-2YqiXS-6BrmG6-8WWigN-at2Sus-HMboUR-i1VML-SZxHKV-G3Ct4-jJvuZV-5hoHnP-ngoxF-4uLMPf-5fgXow-2zjZSE-7RpzNW-7SvFys-7Sw4rQ-gyrWkg-7rK12Q-4aznsL-NNan9-p69BU5-4avkf2-ubwsw-4avjYe-dmUkaG-4aznzb-4WLKwQ-9hMg3V-2zjYnq-nC7W4K-HRq57h-5HBq8K-cdUTpq-bvCXK9-GHHPem
0517.jpg,Névoa,Guilherme Guerra,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/guilhermeguerraoc/27216851760/in/photolist-Ht4tNQ-ej5eKf-bqki12-6bCe6g-98Ttan-98TsPF-7rKfoT-5VdMNa-cN9fLw-7SsiLc-98WyPd-2YqiXS-6BrmG6-8WWigN-at2Sus-HMboUR-i1VML-SZxHKV-G3Ct4-jJvuZV-5hoHnP-ngoxF-4uLMPf-5fgXow-2zjZSE-7RpzNW-7SvFys-7Sw4rQ-gyrWkg-7rK12Q-4aznsL-NNan9-p69BU5-4avkf2-ubwsw-4avjYe-dmUkaG-4aznzb-4WLKwQ-9hMg3V-2zjYnq-nC7W4K-HRq57h-5HBq8K-cdUTpq-bvCXK9-GHHPem-famMQj-du2KPz-hZHNp
0518.jpg,Névoa,dotcomdotbr,https://creativecommons.org/licenses/by-nc-nd/2.0/,No Changes,https://www.flickr.com/photos/dotcomdotbr/8737161600/in/photolist-ej5eKf-bqki12-6bCe6g-98Ttan-98TsPF-7rKfoT-5VdMNa-cN9fLw-7SsiLc-98WyPd-2YqiXS-6BrmG6-8WWigN-at2Sus-HMboUR-i1VML-SZxHKV-G3Ct4-jJvuZV-5hoHnP-ngoxF-4uLMPf-5fgXow-2zjZSE-7RpzNW-7SvFys-7Sw4rQ-gyrWkg-7rK12Q-4aznsL-NNan9-p69BU5-4avkf2-ubwsw-4avjYe-dmUkaG-4aznzb-4WLKwQ-9hMg3V-2zjYnq-nC7W4K-HRq57h-5HBq8K-cdUTpq-bvCXK9-GHHPem-famMQj-du2KPz-hZHNp-4WTr8S
0519.jpg,Névoa chega,Guilherme Guerra,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/guilhermeguerraoc/27421898001/in/photolist-HMboUR-i1VML-SZxHKV-G3Ct4-jJvuZV-5hoHnP-ngoxF-4uLMPf-5fgXow-2zjZSE-7RpzNW-7SvFys-7Sw4rQ-gyrWkg-7rK12Q-4aznsL-NNan9-p69BU5-4avkf2-ubwsw-4avjYe-dmUkaG-4aznzb-4WLKwQ-9hMg3V-2zjYnq-nC7W4K-HRq57h-5HBq8K-cdUTpq-bvCXK9-GHHPem-famMQj-du2KPz-hZHNp-4WTr8S-pjuvQ-9hxXQx-6s8JrG-BF7416-6DRhqW-nfF6p-JzNhb6-4avkrR-ppzQqu-8KSvUq-eyfS4c-P1HyMG-LsAvSf-NTDiT9
0520.jpg,Stop that train,Fernando Kokubun,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/fk_photon/14192238529/in/photolist-nC7W4K-HRq57h-5HBq8K-cdUTpq-bvCXK9-GHHPem-famMQj-du2KPz-hZHNp-4WTr8S-pjuvQ-9hxXQx-6s8JrG-BF7416-6DRhqW-nfF6p-JzNhb6-4avkrR-ppzQqu-8KSvUq-eyfS4c-P1HyMG-LsAvSf-NTDiT9-N74wES-P4UpA4-N74vyJ-NBhMzY-NTDfpW-NTDf7S-NTDeoY-NBhHQJ-P4UnSe-KEk7pB-LBdfVk-LaJvnh-KEaTpC-4avkki-9hKDW3-5vXvQt-pjDaM-D4HcC-ng9XF-toUrkc-zThSg-t7m6UU-8NoExY-psJSR-ApTLw-adywhB
0521.jpg,Thésée-la-Romaine (Loir-et-Cher),Daniel Jolivet,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/sybarite48/14973416694/in/photolist-oP9F7N-5xUA1f-bxZWr4-pcdPvg-JxFxMT-avPh2y-73aYFS-fa7xBR-bu1ENM-pcec7o-4BDgcC-eRiqE-q7HqbD-7N7NN3-bvCZmb-RMQit-8Zrupj-a4ZhFx-8X3ubm-atvXVC-9Vy58-88DsS1-61b5V4-7NjUsU-5RCdry-4uDn8H-9kUb7W-dQWTav-dPSTfN-pz9QH1-hcjR7v-9KXGQP-b2ivGP-88DszW-ccaGqh-dEtN3t-B8mDS-825Jdw-fphMWS-9fZc48-oM2tPk-ojA3Z-adyyAt-7rK12L-RKWCj-6WAzLg-adpefx-4LaNFX-9hGyoa-o1uyP1
0522.jpg,Thésée-la-Romaine (Loir-et-Cher),Daniel Jolivet,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/sybarite48/11294871025/in/photolist-id6aDB-dnPfL7-rZHiMQ-6jNFX-4cP3cF-adypzc-95u4sM-G2Fc-996gLN-898uSz-4cT2XU-4sV5bH-6HJYEn-ooCcMZ-AjKEG-27ALE3-6LUaDY-jc6ogi-idWvwW-7UMK7q-5XFMsS-4BDgcu-5G7tWQ-6bGk4Y-raT9J-adyt7H-6qqqcH-oqF1Qx-825Jbh-o7pXmx-omSaNN-7SsG4k-bNQr6B-9zGjBq-AjKEv-73aXFS-5afEvo-b7qrzz-aPaX2D-aPaWxZ-aMUJvV-4fiRpR-bvCW5N-4NJN5g-5HTjii-7VGArv-fjUi7s-5vXvtg-6phfe8-bvD1Zf
0523.jpg,Névoa de Verão 03,José Moutinho,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/jamoutinho/6049343665/in/photolist-adyt7H-6qqqcH-oqF1Qx-825Jbh-o7pXmx-omSaNN-7SsG4k-bNQr6B-9zGjBq-AjKEv-73aXFS-5afEvo-b7qrzz-aPaX2D-aPaWxZ-aMUJvV-4fiRpR-bvCW5N-4NJN5g-5HTjii-7VGArv-fjUi7s-5vXvtg-6phfe8-bvD1Zf-eVWWHs-dnP93k-AznVL-5XFMrb-5XBwPK-kNQfk-75szWs-5gbNvT-ohEtA7-b7qq6k-6bC9nV-9d81Sw-j1s9KA-o7qu9K-6z3NZk-a5fKB3-6hu91A-d9Jng7-nQ8puS-d9JkQy-byKpZj-9BrpaW-y6K6Ur-5XBx2x-dnP8rM
0524.jpg,Niebla en Bogotá,Julián Ortega Martínez,https://creativecommons.org/licenses/by/2.0/,No Changes,https://www.flickr.com/photos/julianortegam/6441027347/in/photolist-aPaX2D-aPaWxZ-aMUJvV-4fiRpR-bvCW5N-4NJN5g-5HTjii-7VGArv-fjUi7s-5vXvtg-6phfe8-bvD1Zf-eVWWHs-dnP93k-AznVL-5XFMrb-5XBwPK-kNQfk-75szWs-5gbNvT-ohEtA7-b7qq6k-6bC9nV-9d81Sw-j1s9KA-o7qu9K-6z3NZk-a5fKB3-6hu91A-d9Jng7-nQ8puS-d9JkQy-byKpZj-9BrpaW-y6K6Ur-5XBx2x-dnP8rM-5XFMjs-5qAW8R-5rQDHv-yrMszH-6Lm5Qv-7qj1fA-5XBxbV-2hmcQr-5HBjUT-9zGe9b-5HFBoY-9zD9LV-5G3cFn
