FileName,Title,Author,License,Comments,URL
2000.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/mirroring-puddle-rain-mirror-1570410/
2001.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/rain-raincoat-portrait-eople-1531925/
2002.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/plaza-mayor-after-the-storm-thunder-2320583/
2003.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/rain-wood-outdoor-nature-tree-2091249/
2004.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/architecture-blur-building-2178779/
2005.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/cityscape-via-ancient-rain-paved-2301547/
2006.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/taroko-mother-bridge-rain-umbrella-2098044/
2007.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/sidewalk-rain-brugge-road-travel-1924670/
2008.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/downpour-rainy-season-samoa-exotic-42/
2009.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/umbrella-rain-rainy-weather-woman-403185/
2010.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/motor-scooter-road-wet-rain-rainy-555441/
2011.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/bridge-architecture-argentina-259768/
2012.jpg,Not Provided,Not Provided,https://creativecommons.org/publicdomain/zero/1.0/deed.en,No Changes,https://pixabay.com/en/rainy-weather-horrible-rain-wet-2293642/
